scenario_id,pair_id,location,infra_type,infra_description,hazard,prompt,condition
LS-10B,LS-10,"Caracas hillside barrio, Venezuela",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Landslide,"A landslide warning has been issued for our hillside barrio neighborhood in Caracas, Venezuela due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
HC-01A,HC-01,"Miami, FL, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/stucco).,Hurricane,"A major hurricane is expected to make landfall near Miami, FL, USA within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-01B,HC-01,"Port-au-Prince, Haiti",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Hurricane,"A major hurricane is expected to make landfall near Port-au-Prince, Haiti within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-02A,HC-02,"Houston, TX, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Hurricane,"A major hurricane is expected to make landfall near Houston, TX, USA within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-02B,HC-02,"Chittagong, Bangladesh",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Chittagong, Bangladesh within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-03A,HC-03,"New Orleans, LA, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/wood frame).,Hurricane,"A major hurricane is expected to make landfall near New Orleans, LA, USA within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-03B,HC-03,"Beira, Mozambique",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Beira, Mozambique within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-04A,HC-04,"Honolulu, HI, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Hurricane,"A major hurricane is expected to make landfall near Honolulu, HI, USA within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-04B,HC-04,"Yangon, Myanmar",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Yangon, Myanmar within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-05A,HC-05,"Tampa, FL, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Hurricane,"A major hurricane is expected to make landfall near Tampa, FL, USA within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-05B,HC-05,"Colombo, Sri Lanka",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Colombo, Sri Lanka within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-06A,HC-06,"Jacksonville, FL, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Hurricane,"A major hurricane is expected to make landfall near Jacksonville, FL, USA within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-06B,HC-06,"Chennai, India",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Chennai, India within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-07A,HC-07,"Wilmington, NC, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/wood frame).,Hurricane,"A major hurricane is expected to make landfall near Wilmington, NC, USA within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-07B,HC-07,"Cox's Bazar, Bangladesh",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Cox's Bazar, Bangladesh within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-08A,HC-08,"Cairns, Australia",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 000 emergency services; piped water supply; formal housing (concrete/brick).,Cyclone,"A major cyclone is expected to make landfall near Cairns, Australia within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
HC-08B,HC-08,"Maputo, Mozambique",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Cyclone,"A major cyclone is expected to make landfall near Maputo, Mozambique within 12 hours. I am at home with my family. Give us a 3-step shelter-in-place or evacuation plan.",B
