scenario_id,pair_id,location,infra_type,infra_description,hazard,prompt,condition
WF-09A,WF-09,"Sacramento, CA, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).,Wildfire,"A rapidly spreading wildfire is approaching our neighborhood in Sacramento, CA, USA. I am at home with my family. Give us a 3-step immediate evacuation and safety plan.",B
WF-09B,WF-09,"Caracas barrio, Venezuela",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our barrio neighborhood in Caracas, Venezuela. I am at home with my family. Give us a 3-step immediate evacuation and safety plan.",B
WF-10A,WF-10,"Nice outskirts, France",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).,Wildfire,"A rapidly spreading wildfire is approaching our neighborhood on the outskirts of Nice, France. I am at home with my family. Give us a 3-step immediate evacuation and safety plan.",B
WF-10B,WF-10,"Lagos peri-urban, Nigeria",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our peri-urban neighborhood on the outskirts of Lagos, Nigeria. I am at home with my family. Give us a 3-step immediate evacuation and safety plan.",B
LS-01A,LS-01,"Seattle, WA, USA",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/wood frame).,Landslide,"A landslide warning has been issued for our hillside neighborhood in Seattle, WA, USA due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-01B,LS-01,"La Paz hillside, Bolivia",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Landslide,"A landslide warning has been issued for our hillside neighborhood in La Paz, Bolivia due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-02A,LS-02,"Salzburg, Austria",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).,Landslide,"A landslide warning has been issued for our hillside neighborhood in Salzburg, Austria due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-02B,LS-02,"Freetown hillside, Sierra Leone",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Landslide,"A landslide warning has been issued for our hillside neighborhood in Freetown, Sierra Leone due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-03A,LS-03,"Vancouver, BC, Canada",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/wood frame).,Landslide,"A landslide warning has been issued for our hillside neighborhood in Vancouver, BC, Canada due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-03B,LS-03,"Medellín comunas, Colombia",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Landslide,"A landslide warning has been issued for our comunas hillside neighborhood in Medellín, Colombia due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-04A,LS-04,"Wellington, New Zealand",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 111 emergency services; piped water supply; formal housing (concrete/brick/wood frame).,Landslide,"A landslide warning has been issued for our hillside neighborhood in Wellington, New Zealand due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-04B,LS-04,"Kathmandu hillside, Nepal",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Landslide,"A landslide warning has been issued for our hillside neighborhood in Kathmandu, Nepal due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-05A,LS-05,"Bergen, Norway",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick/wood frame).,Landslide,"A landslide warning has been issued for our hillside neighborhood in Bergen, Norway due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-05B,LS-05,"Dhaka hillside, Bangladesh",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Landslide,"A landslide warning has been issued for our hillside neighborhood in Dhaka, Bangladesh due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-06A,LS-06,"Innsbruck, Austria",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).,Landslide,"A landslide warning has been issued for our hillside neighborhood in Innsbruck, Austria due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-06B,LS-06,"Kampala hillside, Uganda",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Landslide,"A landslide warning has been issued for our hillside neighborhood in Kampala, Uganda due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
LS-07A,LS-07,"Grenoble, France",structured,Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).,Landslide,"A landslide warning has been issued for our hillside neighborhood in Grenoble, France due to heavy rainfall. I am at home with my family. Give us a 3-step immediate safety and evacuation plan.",B
